"Countries" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"36" "Cyprus" 5317.6506 5886.3751 6186.2083 6263.4409 5245.5971 4625.577 5629.9779 6599.2884 7228.9301 7761.7668 8289.1685 8570.468 8971.3592 9460.1281 9935.8476 10374.216 10811.499 11741.195 12934.073 13602.331 14628.069 14631.788 15415.866 15153.716 15802.503 17297.938 17633.151 18130.889 18873.669 19844.403 20456.78 21400.74 21654.351 22009.959
"37" "Denmark" 16468.13 16774.905 17444.808 17970.16 17602.563 17201.22 18265.746 18396.666 18659.588 19193.084 19018.984 18576.556 19098.055 19456.16 20191 20932.78 21805.87 21776.535 22025.176 22031.535 22201.031 22420.723 22793.322 22632.176 23855.489 24542.407 25124.136 25890.48 26365.393 26899.956 27827.281 27875.001 27883.32 27970.436
"38" "Dominica" 4385.1997 4573.9233 4583.7999 4319.852 3827.5886 3570.118 3851.0387 3968.2018 4126.998 3640.5276 3437.8273 4293.4973 4643.2371 4896.1652 4881.9543 5022.396 5568.954 5896.7385 6067.6469 5752.4236 6183.3471 6105.5816 6957.72 7060.1763 6992.5498 6997.2461 7337.1354 7545.8319 8090.2596 8305.9729 8196.8484 7692.1004 7907.317 7565.9031
"39" "Dominican.Republic" 2761.196 2875.1409 3016.6213 3231.877 3402.5972 3354.5843 3426.1899 3511.4669 3553.4506 3613.0182 3922.2397 4209.8697 4330.9421 4404.1949 4337.2742 4197.2099 4269.2757 4326.9381 4328.4292 4374.0061 4134.8243 4187.5062 4584.4021 4781.0388 4921.3041 4994.1864 5324.6311 5588.6003 5935.9358 6172.4559 6497.3674 6803.4275 7157.7792 6899.2006
"40" "Ecuador" 2661.265 2686.5124 2972.4699 3610.665 3874.6434 4034.6938 4320.872 4569.3128 4704.0145 4822.5758 4939.2233 5014.1266 4924.2257 4679.062 4690.2835 4680.1188 4684.3012 4254.6758 4595.0254 4445.6321 4453.0145 4500.7052 4505.9749 4461.6993 4510.7079 4524.5046 4532.1702 4582.8348 4492.021 4339.851 4314.4423 4318.7033 4297.1189 4329.706
"41" "Egypt" 1892.1045 1907.6552 1978.4622 1873.1588 1899.9772 1828.599 2041.9084 2227.7607 2239.3363 2335.0124 2572.3378 2549.812 2608.04 2714.4895 2788.9607 2862.0643 2957.0316 3080.9812 3123.6451 3265.7176 3384.4669 3499.1032 3565.6735 3586.8541 3667.4003 3756.7262 4103.2104 4094.7805 4252.2677 4425.0049 4535.8319 4609.4788 4688.4091 4759.31
"42" "El.Salvador" 3700.7371 3693.2884 3829.6884 3931.6859 3988.0603 4144.3666 4281.4991 4369.7297 4508.452 4289.403 3993.6053 3773.8771 3653.3205 3610.2081 3671.0546 3737.832 3706.9001 3721.3958 3708.7217 3660.0937 3717.8389 3762.1214 3921.228 4111.4031 4268.6766 4471.9231 4532.1275 4611.0029 4631.4826 4709.0469 4732.1276 4744.2808 4768.6665 4751.5547
"43" "Equatorial.Guinea" 1212.514 1225.712 1244.0235 1434.9534 1552.182 2051.3302 2498.503 2734.767 2537.8686 2170.4778 1969.138 1886.3862 1887.3478 1794.7024 1741.9639 1723.1181 1580.8185 1446.6415 1569.4455 1489.5601 1602.7435 1567.2771 1825.7201 1558.0294 936.59437 1031.9716 1626.1604 3678.7332 4472.6913 5322.4592 6494.5391 9087.651 13301.873 11600.346
"44" "Ethiopia" 478.71687 489.31954 497.44694 502.18356 499.96931 489.32515 496.13367 490.15153 480.14885 493.32093 505.33737 515.20616 504.43753 520.63833 465.94644 461.22355 463.65507 363.94799 462.94068 429.00003 463.77116 437.24304 552.31501 593.22164 595.55485 607.53946 645.59552 668.68557 668.73561 722.912 725.36517 723.38644 737.70656 687.30851
"45" "Fiji" 3138.0939 3291.4111 3459.5825 3945.6478 3917.4038 3916.0662 3987.4005 4026.7866 4108.4115 4625.5204 4464.1939 4323.7357 4311.6994 3999.4241 4322.8228 4481.5642 4059.1086 4124.2769 3931.1933 4071.171 5168.6853 5193.9858 4883.2199 4672.2096 4749.869 4753.3488 5016.6388 4777.109 4763.2432 4677.8931 4571.9479 4655.6402 4890.5973 4919.4512
"46" "Finland" 11804.03 11970.416 12670.626 13382.694 14088.834 14010.72 13736.217 14014.743 14095.851 14954.916 15760.838 16047.44 16480.27 16761.852 17155.83 17376.704 17643.176 18207.575 19159.543 20292.72 19883.32 18218.002 17314.844 16795.128 17454.761 18221.532 18587.825 19899.69 21073.692 21585.596 22740.686 22913.414 23459.308 23785.892
"47" "France" 13362.598 13881.053 14395.336 15083.842 15379.368 15194.862 15824.8 16200.74 16660.069 17148.095 17400.372 17536.923 18003.649 18167.689 18323.237 18616.543 19052.096 19401.206 20166.048 20833.6 21295.814 21395.333 21647.04 21216.004 21585.663 22016.317 22122.525 22567.633 23370.915 24105.489 25044.538 25439.414 25583.106 25663.464
