"NUTS_ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
"45" "DE27" 22663.311119467 23431.1465787159 24204.8522588501 25001.3149281603 25884.6449935213 26822.742473302 27721.9641869081 28485.028158017 29107.1381404008 29713.8933825487 30525.751030486 31456.94528903 32401.5901981204 33324.688551452 34254.9887110203
"46" "ES30" 25341.4509890764 26503.5003362276 27658.9175251267 28832.5103437249 30103.6597759533 31434.545150747 32674.7602328887 33556.3715630412 33927.4840446056 33899.183130896 33738.1568280899 33615.2238414211 33583.0977836294 33644.0564528269 33787.0820017452
"47" "UKD6" 24689.3905020971 26484.4734265665 28137.2538707004 29603.9136059126 30914.6737843049 32035.1293810329 32800.5275657636 33024.4948071987 32744.5731635177 32234.3855237483 31872.4230707554 31855.6753036042 32225.5440300391 32774.5230092276 33403.0189555311
"48" "ITH2" 30453.7059007422 30543.5158738499 30592.7329028388 30697.8015037743 30940.3289282673 31370.2741873252 31935.1436634322 32475.1998691009 32825.0823306943 33015.3985955197 33216.743037973 33437.2462571671 33634.3599661391 33775.5764767796 33886.8905063965
"49" "DE13" 22826.469547559 23383.1297957985 23967.5549164286 24642.2090145121 25442.7474084831 26334.0719744541 27226.24500318 27991.8772695031 28579.3803477571 29114.4654491549 29870.1429292685 30765.1086718051 31658.8356917887 32544.3796167548 33453.3823635525
"50" "DEA4" 22928.1275380108 23428.736103339 23988.8442625854 24679.3538331341 25540.9515503555 26521.6275363185 27498.8196650352 28346.5054047066 28954.8510771282 29446.5821393425 30079.6478760513 30848.5444296617 31671.0242824126 32505.0728077969 33361.3114941218
"51" "DE22" 21068.4682565614 21887.1624006069 22694.9016236026 23530.7850204015 24450.7274260803 25409.7180724515 26354.6298031547 27230.780570237 28006.7475572412 28806.1830564718 29799.659751075 30820.7610351612 31735.1247426692 32581.0669419116 33423.2837423741
"52" "DE92" 22788.7585628565 23342.4980907445 23962.0362485754 24706.371971773 25608.5783959893 26620.7091413922 27581.4452847916 28358.1544403746 28949.1729767614 29471.5325521126 30162.3971483069 30959.4855388847 31742.5329536577 32493.7569362158 33252.5697575637
"53" "UKI7" 28976.885621881 29472.2810120952 30003.3747028085 30546.3000325846 31044.650387538 31370.6111485697 31405.2236345745 31098.2313806761 30510.5421404662 29879.3466466285 29616.148889372 29863.7573954451 30554.3968692968 31498.0908321047 32560.1593059592
"54" "DE30" 22555.1603368607 22894.7599433115 23273.5338958644 23747.4949496922 24376.8904366287 25166.3684965576 26044.2747995015 26928.3360560341 27761.1950088086 28576.9606315129 29495.9506964257 30434.1692747833 31260.268326394 32013.4327271009 32771.204420524
"55" "ES21" 23007.6882152302 24244.665836021 25496.4133423749 26786.5540860918 28187.2852841914 29660.9554999191 31043.9476510492 32066.8917753692 32549.3862864988 32572.3269139984 32432.7075815888 32271.9499067508 32162.2422939113 32132.2611624168 32184.7241645883
"56" "DEB3" 22369.2773463348 22884.4354391732 23468.509156598 24160.9044529279 24974.065817426 25846.6930268869 26721.6353273169 27518.2710804208 28184.5169955321 28825.3664091175 29612.2899383584 30440.6995749771 31220.040920559 31933.247644693 32640.0468696784
"57" "DEC0" 21162.3799675403 21971.0196014261 22849.6784405055 23889.0125537438 25107.7294596255 26382.2946680361 27507.9369753211 28330.71803094 28791.4295683013 29081.9484358627 29587.5227511539 30264.2888819665 30974.3795559077 31681.6412794698 32418.0198301999
"58" "SE23" 24243.8857509728 24979.7019510636 25772.4964309988 26666.4951584524 27614.324672139 28557.9722854203 29469.1333641162 30166.2277083791 30520.613780103 30649.053607841 30889.0110153298 31234.1012490518 31615.6977930363 32007.7179314644 32413.5673016314
"59" "DE73" 21797.2560079696 22656.0073977515 23531.1978262582 24430.3051485744 25323.8155675834 26193.3664623966 26984.784721312 27612.9585986443 28043.2107932981 28414.7906283952 28956.0337001292 29620.9091041511 30370.4205440907 31194.2262669138 32070.7172325319
"60" "ITH5" 28837.3535226088 28976.2704679062 29109.2108495863 29345.9948291666 29762.9688322308 30365.1201116961 31051.3609073228 31598.1842409996 31837.8653894437 31842.9701508124 31888.0058609519 32000.6046315784 32098.3176366559 32162.5993090958 32223.1732599446
"61" "AT22" 21671.9765072307 22329.7181304658 23055.9435125439 23882.3815114338 24799.8100230968 25721.8259016651 26578.0563975754 27278.6366169979 27785.2126424908 28222.8486978924 28814.9749842429 29573.3659109194 30411.3998898202 31230.7167870965 32043.1324865283
"62" "BE25" 22905.4814021339 23504.6315058023 24113.9445851293 24723.162574845 25367.476276059 26046.3704779057 26716.5337653498 27279.2354468914 27697.0994285744 28112.0719449402 28698.5633219582 29405.0523744076 30164.247785554 30924.0498587579 31686.0792516912
"63" "UKJ2" 26257.1612449505 27084.8159046634 27871.3247651842 28577.9714825747 29202.6277504672 29714.6898252821 30035.133523365 30034.5842890165 29738.0462027985 29356.9898590306 29176.7984595844 29313.7368288868 29791.7820378309 30456.7132646882 31187.6245616772
"64" "ITI4" 28529.156985674 29198.0423222306 29814.2625410795 30437.4657529557 31125.0180620219 31848.2910519676 32526.6534165591 33007.7472812477 33150.9502248352 33022.4002611237 32792.0833679421 32482.4014813389 32069.0231984923 31610.4328795662 31186.0711729655
"65" "DE24" 20441.324428898 21002.7906781907 21573.6450188598 22210.8290337709 22975.5011027725 23831.0869603093 24712.9321643826 25519.4083593443 26226.818043245 26936.3583766401 27776.935633166 28663.6387461965 29515.2469477991 30336.3572706495 31177.1272357757
"66" "SE33" 21367.1362055638 22331.7207464405 23349.5634944269 24468.8473372025 25681.8250033381 26873.7336474525 27980.71842363 28847.1271023629 29464.3925063624 29944.4071219617 30628.7606344762 31243.9375897073 31639.82083194 31803.2631911066 31874.7461640286
