"ID" "Y1970" "Y1971" "Y1972" "Y1973" "Y1974" "Y1975" "Y1976" "Y1977" "Y1978" "Y1979" "Y1980" "Y1981" "Y1982" "Y1983" "Y1984" "Y1985" "Y1986" "Y1987" "Y1988" "Y1989" "Y1990" "Y1991" "Y1992" "Y1993" "Y1994" "Y1995" "Y1996" "Y1997" "Y1998" "Y1999" "Y2000" "Y2001" "Y2002" "Y2003"
"34" "Cote.d.Ivoire" 1951.76728571001 1979.06221227077 2006.26039411726 2033.35695000452 2060.3593804523 2087.10165110536 2112.99586565731 2137.40246567399 2159.8278308071 2179.81738179418 2197.32056904572 2212.73328326775 2226.12093874366 2237.1775835487 2245.83035441123 2251.90185535075 2255.04039400075 2254.81911010633 2251.01564817757 2243.52525094932 2232.31029153595 2218.15965942449 2202.16406537309 2185.39357474139 2168.87015197555 2153.3562893349 2139.07981644883 2125.90314697339 2113.50791052351 2101.47504234669 2089.4329846641 2077.19381884106 2064.77519053125 2052.2731520912
"35" "Cuba" 2334.47613229386 2547.3068739602 2760.98808679582 2977.03086128506 3197.2139104453 3423.11333439072 3655.47982820935 3894.33606290327 4138.75810215404 4387.22994923593 4637.63878466785 4886.82210284563 5129.39596320341 5358.93699541822 5568.74154475908 5751.79345900647 5900.51706407898 6010.31040824767 6079.5356488734 6109.36412454643 6103.86919523483 6069.91852434528 6015.9342252964 5951.63647094594 5886.0750500884 5825.79112459093 5775.13060319543 5736.32275758237 5710.07167842419 5695.4720999994 5690.25449864043 5691.59763742972 5696.70118745311 5703.26700945288
"36" "Cyprus" 4728.69739146541 5006.64390119461 5286.06279394516 5570.62578073539 5866.25493634878 6180.60437336699 6519.77655978081 6885.98639514759 7279.22428237524 7698.76387938377 8143.75310863731 8613.4973999015 9107.66572142038 9625.81946793824 10167.1792678958 10730.551521314 11314.164299044 11915.3548331337 12530.2036923833 13154.3560460102 13784.4667365009 14418.3105437269 15055.7712532183 15697.2663441461 16344.113532548 16996.2716586015 17652.3455361528 18311.6941449014 18973.6284782064 19637.007516565 20300.4403417784 20963.0545243568 21624.3684839556 22284.9948539197
"37" "Denmark" 16601.1590514148 16841.5312281589 17081.5708322745 17320.7787255626 17559.5638627436 17799.958651724 18044.1029982534 18292.6399614521 18546.7667079448 18807.9404694525 19077.9005309263 19359.3490361439 19654.8408375555 19964.9738050209 20288.9538438061 20624.7148246646 20969.9457337403 21323.1057201153 21684.7437435377 22056.542336955 22441.035113956 22840.6931697871 23257.3875894098 23691.9395323611 24144.0099942045 24610.6105616725 25088.0315190124 25572.392641567 26059.9039658816 26547.5707468978 27033.1619621422 27515.3275522744 27994.7027555486 28472.8219938381
"38" "Dominica" 4055.56098624226 4046.38307692652 4038.02926439517 4032.64249599029 4033.73014564298 4045.51761104434 4071.71493602138 4114.84366537351 4176.87365331005 4259.40814937693 4363.92571398677 4490.35770617877 4636.32023895715 4798.93727431068 4975.35006638076 5162.94293912299 5358.86672707703 5559.92089743473 5763.43013557024 5967.56117086413 6171.24127460804 6372.85987416647 6570.83666146737 6762.92313275328 6947.8379926131 7125.04307855381 7294.11200760087 7454.29890433338 7604.96545181139 7745.70216558416 7877.31279657139 8002.00177252885 8122.77236022085 8241.8530729804
"39" "Dominican.Republic" 2867.98072667219 2969.06221753845 3069.87674658803 3169.9225487104 3268.56472017857 3365.32324339376 3460.05318195676 3552.58275210986 3642.65551189046 3729.9122297057 3813.77066168298 3893.35632887544 3968.06592493201 4038.08742692943 4104.51600238212 4169.36208748717 4235.2180139357 4304.74573295015 4380.69233996808 4465.86041134471 4562.92186558529 4674.31898541677 4801.42380965209 4944.39134514068 5102.83404445781 5275.95597881591 5462.50739456628 5660.53411411317 5867.73726912441 6081.63815673254 6299.92857039731 6520.52734793663 6741.84692424241 6963.00698458672
"40" "Ecuador" 3030.49699184904 3221.61280899794 3411.80554616721 3598.81437235475 3779.28011744301 3949.87323788357 4107.5025983344 4249.28911485877 4372.8871270241 4476.75103361066 4560.16305183118 4623.26996081435 4667.16619030928 4693.92331166304 4706.25554499695 4706.83995715315 4698.31368486128 4683.24706195814 4664.17539106832 4642.56254666156 4619.6995282299 4596.38500914876 4573.00095022294 4549.6901127344 4526.42769283954 4502.96890966291 4479.02968284697 4454.37977126003 4428.92178506327 4402.87947198972 4376.63432780977 4350.4102771138 4324.27576442271 4298.21996681458
"41" "Egypt" 1744.39851940766 1805.59977197412 1867.17028949206 1929.73447548302 1994.19496324483 2061.31294688658 2131.61407610929 2205.04221574671 2281.31696644237 2360.21472505039 2441.40693675882 2524.50204094307 2609.43580413663 2696.20726777066 2784.81198376599 2875.29120962398 2967.69657463661 3062.04664082179 3158.33330776083 3256.59581143301 3356.78666729818 3458.88119528761 3562.92391591436 3669.05990470322 3777.44111113923 3888.01397019565 4000.44981481792 4114.09175852596 4228.53981630266 4343.3457249846 4458.12054111759 4572.67946918499 4687.03199206735 4801.27959097229
"42" "El.Salvador" 3913.25542874994 3930.85276035356 3947.9187961353 3963.32832937241 3975.66057735179 3983.41565128691 3985.12466169787 3979.72109647653 3966.87937961054 3947.24895659632 3922.8332044813 3896.49088542139 3871.25769181132 3849.86278158224 3834.4904696858 3826.72593436968 3827.74576420734 3838.50431293632 3859.65382013366 3891.55375409403 3934.18625281179 3986.95480414604 4048.72202757387 4117.78845906201 4192.13589950824 4269.73018641268 4348.7285090267 4427.79353888563 4506.04644500223 4583.06641979204 4658.7462460581 4733.29365780398 4807.0998424181 4880.58345514435
"43" "Equatorial.Guinea" 1556.09986634884 1606.65590799624 1656.35298497777 1703.37977285756 1744.89412348731 1777.38282278657 1796.85087636617 1799.98815827997 1785.23867289092 1753.38337166628 1707.08478089106 1650.04816292111 1586.63391316007 1521.79327210426 1461.22926496711 1411.32718978178 1379.17418116902 1372.63685102512 1400.08592204345 1470.07712853981 1591.5896037749 1773.65118843807 2025.31760795923 2355.1286525472 2771.12511864089 3279.35505454787 3881.28018170404 4572.74376290902 5343.9512615081 6182.87311443936 7075.30160873708 8004.87799664941 8953.79162415271 9906.93876973168
